country,date,price,year,quarter
United States,1983-06-30,76.72,1983,2
South Africa,1983-06-30,92.11,1983,2
Canada,1983-09-30,44.28,1983,3
Switzerland,1983-09-30,86.92,1983,3
United Kingdom,1983-09-30,32.61,1983,3
New Zealand,1983-09-30,44.93,1983,3
United States,1983-09-30,76.85,1983,3
South Africa,1983-09-30,94.33,1983,3
Canada,1983-12-31,44.04,1983,4
Switzerland,1983-12-31,87.38,1983,4
United Kingdom,1983-12-31,32.51,1983,4
New Zealand,1983-12-31,45.97,1983,4
United States,1983-12-31,77.12,1983,4
South Africa,1983-12-31,97.53,1983,4
Canada,1984-03-31,43.48,1984,1
Switzerland,1984-03-31,87.75,1984,1
United Kingdom,1984-03-31,32.68,1984,1
New Zealand,1984-03-31,47.26,1984,1
United States,1984-03-31,77.26,1984,1
South Africa,1984-03-31,97.61,1984,1
Canada,1984-06-30,43.36,1984,2
Switzerland,1984-06-30,89.09,1984,2
United Kingdom,1984-06-30,33.0,1984,2
New Zealand,1984-06-30,47.78,1984,2
United States,1984-06-30,77.36,1984,2
South Africa,1984-06-30,93.74,1984,2
Canada,1984-09-30,42.21,1984,3
Switzerland,1984-09-30,88.94,1984,3
United Kingdom,1984-09-30,34.1,1984,3
New Zealand,1984-09-30,47.68,1984,3
United States,1984-09-30,77.45,1984,3
South Africa,1984-09-30,90.1,1984,3
Canada,1984-12-31,42.41,1984,4
Switzerland,1984-12-31,88.62,1984,4
United Kingdom,1984-12-31,34.25,1984,4
New Zealand,1984-12-31,47.5,1984,4
United States,1984-12-31,77.58,1984,4
South Africa,1984-12-31,84.7,1984,4
Canada,1985-03-31,42.81,1985,1
Switzerland,1985-03-31,89.91,1985,1
United Kingdom,1985-03-31,33.9,1985,1
New Zealand,1985-03-31,47.1,1985,1
United States,1985-03-31,78.05,1985,1
South Africa,1985-03-31,78.82,1985,1
Canada,1985-06-30,43.3,1985,2
Switzerland,1985-06-30,88.98,1985,2
United Kingdom,1985-06-30,34.26,1985,2
New Zealand,1985-06-30,46.54,1985,2
United States,1985-06-30,78.43,1985,2
South Africa,1985-06-30,73.72,1985,2
Canada,1985-09-30,43.1,1985,3
Switzerland,1985-09-30,90.64,1985,3
United Kingdom,1985-09-30,34.88,1985,3
New Zealand,1985-09-30,47.06,1985,3
United States,1985-09-30,78.95,1985,3
South Africa,1985-09-30,70.55,1985,3
Canada,1985-12-31,44.57,1985,4
Switzerland,1985-12-31,90.77,1985,4
United Kingdom,1985-12-31,35.79,1985,4
New Zealand,1985-12-31,47.46,1985,4
United States,1985-12-31,79.74,1985,4
South Africa,1985-12-31,67.53,1985,4
Canada,1986-03-31,46.56,1986,1
Switzerland,1986-03-31,93.89,1986,1
United Kingdom,1986-03-31,36.37,1986,1
South Korea,1986-03-31,120.98,1986,1
New Zealand,1986-03-31,47.33,1986,1
Sweden,1986-03-31,38.77,1986,1
United States,1986-03-31,81.1,1986,1
South Africa,1986-03-31,63.05,1986,1
Canada,1986-06-30,48.51,1986,2
Switzerland,1986-06-30,93.0,1986,2
United Kingdom,1986-06-30,37.46,1986,2
South Korea,1986-06-30,118.99,1986,2
New Zealand,1986-06-30,46.72,1986,2
Sweden,1986-06-30,39.27,1986,2
United States,1986-06-30,82.9,1986,2
South Africa,1986-06-30,59.94,1986,2
Canada,1986-09-30,48.77,1986,3
Switzerland,1986-09-30,95.42,1986,3
United Kingdom,1986-09-30,38.94,1986,3
South Korea,1986-09-30,117.74,1986,3
New Zealand,1986-09-30,46.23,1986,3
Sweden,1986-09-30,40.13,1986,3
United States,1986-09-30,84.18,1986,3
South Africa,1986-09-30,57.01,1986,3
Canada,1986-12-31,51.61,1986,4
Switzerland,1986-12-31,95.73,1986,4
United Kingdom,1986-12-31,39.76,1986,4
South Korea,1986-12-31,118.02,1986,4
New Zealand,1986-12-31,43.32,1986,4
Sweden,1986-12-31,40.75,1986,4
United States,1986-12-31,85.5,1986,4
South Africa,1986-12-31,55.16,1986,4
Canada,1987-03-31,55.43,1987,1
Switzerland,1987-03-31,97.45,1987,1
United Kingdom,1987-03-31,40.65,1987,1
South Korea,1987-03-31,116.37,1987,1
New Zealand,1987-03-31,44.74,1987,1
Sweden,1987-03-31,41.89,1987,1
United States,1987-03-31,86.75,1987,1
South Africa,1987-03-31,54.98,1987,1
Canada,1987-06-30,53.99,1987,2
Switzerland,1987-06-30,99.51,1987,2
United Kingdom,1987-06-30,41.95,1987,2
South Korea,1987-06-30,113.91,1987,2
New Zealand,1987-06-30,45.48,1987,2
Sweden,1987-06-30,42.69,1987,2
United States,1987-06-30,87.62,1987,2
South Africa,1987-06-30,55.21,1987,2
Canada,1987-09-30,53.41,1987,3
Switzerland,1987-09-30,101.22,1987,3
United Kingdom,1987-09-30,43.93,1987,3
