country,date,price,year,quarter
Switzerland,1983-09-30,54.66,1983,3
United Kingdom,1983-09-30,15.04,1983,3
New Zealand,1983-09-30,15.23,1983,3
United States,1983-09-30,35.34,1983,3
South Africa,1983-09-30,8.63,1983,3
Canada,1983-12-31,22.36,1983,4
Switzerland,1983-12-31,55.42,1983,4
United Kingdom,1983-12-31,15.16,1983,4
New Zealand,1983-12-31,15.73,1983,4
United States,1983-12-31,35.78,1983,4
South Africa,1983-12-31,9.12,1983,4
Canada,1984-03-31,22.34,1984,1
Switzerland,1984-03-31,56.25,1984,1
United Kingdom,1984-03-31,15.29,1984,1
New Zealand,1984-03-31,16.28,1984,1
United States,1984-03-31,36.24,1984,1
South Africa,1984-03-31,9.33,1984,1
Canada,1984-06-30,22.46,1984,2
Switzerland,1984-06-30,57.49,1984,2
United Kingdom,1984-06-30,15.77,1984,2
New Zealand,1984-06-30,16.82,1984,2
United States,1984-06-30,36.69,1984,2
South Africa,1984-06-30,9.31,1984,2
Canada,1984-09-30,22.05,1984,3
Switzerland,1984-09-30,57.5,1984,3
United Kingdom,1984-09-30,16.37,1984,3
New Zealand,1984-09-30,17.29,1984,3
United States,1984-09-30,37.13,1984,3
South Africa,1984-09-30,9.2,1984,3
Canada,1984-12-31,22.32,1984,4
Switzerland,1984-12-31,57.9,1984,4
United Kingdom,1984-12-31,16.61,1984,4
New Zealand,1984-12-31,17.78,1984,4
United States,1984-12-31,37.46,1984,4
South Africa,1984-12-31,8.93,1984,4
Canada,1985-03-31,22.79,1985,1
Switzerland,1985-03-31,59.84,1985,1
United Kingdom,1985-03-31,16.61,1985,1
New Zealand,1985-03-31,18.4,1985,1
United States,1985-03-31,37.93,1985,1
South Africa,1985-03-31,8.67,1985,1
Canada,1985-06-30,23.32,1985,2
Switzerland,1985-06-30,59.49,1985,2
United Kingdom,1985-06-30,17.22,1985,2
New Zealand,1985-06-30,19.11,1985,2
United States,1985-06-30,38.58,1985,2
South Africa,1985-06-30,8.51,1985,2
Canada,1985-09-30,23.44,1985,3
Switzerland,1985-09-30,60.49,1985,3
United Kingdom,1985-09-30,17.58,1985,3
New Zealand,1985-09-30,19.85,1985,3
United States,1985-09-30,39.11,1985,3
South Africa,1985-09-30,8.38,1985,3
Canada,1985-12-31,24.43,1985,4
Switzerland,1985-12-31,61.15,1985,4
United Kingdom,1985-12-31,18.19,1985,4
New Zealand,1985-12-31,20.48,1985,4
United States,1985-12-31,39.86,1985,4
South Africa,1985-12-31,8.36,1985,4
Canada,1986-03-31,25.85,1986,1
Switzerland,1986-03-31,63.41,1986,1
United Kingdom,1986-03-31,18.55,1986,1
South Korea,1986-03-31,42.38,1986,1
New Zealand,1986-03-31,20.89,1986,1
Sweden,1986-03-31,20.37,1986,1
United States,1986-03-31,40.62,1986,1
South Africa,1986-03-31,8.27,1986,1
Canada,1986-06-30,27.16,1986,2
Switzerland,1986-06-30,62.69,1986,2
United Kingdom,1986-06-30,19.39,1986,2
South Korea,1986-06-30,41.91,1986,2
New Zealand,1986-06-30,21.18,1986,2
Sweden,1986-06-30,20.73,1986,2
United States,1986-06-30,41.44,1986,2
South Africa,1986-06-30,8.12,1986,2
Canada,1986-09-30,27.62,1986,3
Switzerland,1986-09-30,64.06,1986,3
United Kingdom,1986-09-30,20.24,1986,3
South Korea,1986-09-30,41.59,1986,3
New Zealand,1986-09-30,21.65,1986,3
Sweden,1986-09-30,21.28,1986,3
United States,1986-09-30,42.39,1986,3
South Africa,1986-09-30,8.07,1986,3
Canada,1986-12-31,29.53,1986,4
Switzerland,1986-12-31,64.55,1986,4
United Kingdom,1986-12-31,20.84,1986,4
South Korea,1986-12-31,41.38,1986,4
New Zealand,1986-12-31,22.1,1986,4
Sweden,1986-12-31,21.83,1986,4
United States,1986-12-31,43.29,1986,4
South Africa,1986-12-31,8.12,1986,4
Canada,1987-03-31,32.01,1987,1
Switzerland,1987-03-31,66.4,1987,1
United Kingdom,1987-03-31,21.45,1987,1
South Korea,1987-03-31,41.09,1987,1
New Zealand,1987-03-31,23.36,1987,1
Sweden,1987-03-31,22.75,1987,1
United States,1987-03-31,44.41,1987,1
South Africa,1987-03-31,8.41,1987,1
Canada,1987-06-30,31.63,1987,2
Switzerland,1987-06-30,67.83,1987,2
United Kingdom,1987-06-30,22.41,1987,2
South Korea,1987-06-30,41.1,1987,2
New Zealand,1987-06-30,24.52,1987,2
Sweden,1987-06-30,23.3,1987,2
United States,1987-06-30,45.45,1987,2
South Africa,1987-06-30,8.76,1987,2
Canada,1987-09-30,31.63,1987,3
Switzerland,1987-09-30,69.16,1987,3
United Kingdom,1987-09-30,23.5,1987,3
South Korea,1987-09-30,41.81,1987,3
New Zealand,1987-09-30,25.72,1987,3
Sweden,1987-09-30,24.03,1987,3
United States,1987-09-30,46.42,1987,3
South Africa,1987-09-30,9.08,1987,3
Canada,1987-12-31,33.36,1987,4
Switzerland,1987-12-31,70.74,1987,4
United Kingdom,1987-12-31,24.95,1987,4
South Korea,1987-12-31,43.92,1987,4
New Zealand,1987-12-31,26.9,1987,4
Sweden,1987-12-31,24.95,1987,4
United States,1987-12-31,47.34,1987,4
South Africa,1987-12-31,9.5,1987,4
Canada,1988-03-31,36.45,1988,1
Switzerland,1988-03-31,73.45,1988,1
Colombia,1988-03-31,5.09,1988,1
United Kingdom,1988-03-31,25.98,1988,1
South Korea,1988-03-31,45.81,1988,1
New Zealand,1988-03-31,27.67,1988,1
Sweden,1988-03-31,26.24,1988,1
United States,1988-03-31,48.13,1988,1
South Africa,1988-03-31,9.85,1988,1
Canada,1988-06-30,37.23,1988,2
Switzerland,1988-06-30,75.58,1988,2
Colombia,1988-06-30,4.96,1988,2
United Kingdom,1988-06-30,27.55,1988,2
South Korea,1988-06-30,48.3,1988,2
New Zealand,1988-06-30,28.47,1988,2
Sweden,1988-06-30,27.34,1988,2
United States,1988-06-30,49.31,1988,2
South Africa,1988-06-30,10.06,1988,2
Canada,1988-09-30,37.6,1988,3
Switzerland,1988-09-30,78.66,1988,3
Colombia,1988-09-30,5.91,1988,3
United Kingdom,1988-09-30,31.17,1988,3
South Korea,1988-09-30,49.97,1988,3
New Zealand,1988-09-30,28.66,1988,3
Sweden,1988-09-30,28.99,1988,3
United States,1988-09-30,50.7,1988,3
South Africa,1988-09-30,10.44,1988,3
Canada,1988-12-31,40.66,1988,4
Switzerland,1988-12-31,82.23,1988,4
Colombia,1988-12-31,5.86,1988,4
United Kingdom,1988-12-31,33.11,1988,4
South Korea,1988-12-31,50.02,1988,4
New Zealand,1988-12-31,28.83,1988,4
Sweden,1988-12-31,29.72,1988,4
United States,1988-12-31,51.97,1988,4
South Africa,1988-12-31,10.8,1988,4
Canada,1989-03-31,44.74,1989,1
Switzerland,1989-03-31,84.58,1989,1
Colombia,1989-03-31,6.7,1989,1
United Kingdom,1989-03-31,33.83,1989,1
South Korea,1989-03-31,52.08,1989,1
